normalization,normalization_label,level,metric,point_estimate,ci_low,ci_high,source
NOT_NORMALIZED,Sem normalizacao,micro,dice,0.8152279653771298,0.730996866341513,0.8843063783735919,ENSEMBLE_METRICS_11_05_2026_14_51_19.json
NOT_NORMALIZED,Sem normalizacao,micro,iou,0.6880884605253437,0.5760402374444619,0.7926068243605757,ENSEMBLE_METRICS_11_05_2026_14_51_19.json
NOT_NORMALIZED,Sem normalizacao,micro,tpr,0.7413478942480562,0.6133159984600929,0.8605977999061777,ENSEMBLE_METRICS_11_05_2026_14_51_19.json
NOT_NORMALIZED,Sem normalizacao,micro,tnr,0.9821971210192604,0.9686461606718826,0.9904002008109638,ENSEMBLE_METRICS_11_05_2026_14_51_19.json
NOT_NORMALIZED,Sem normalizacao,micro,precision,0.9054631766971757,0.8382644986634995,0.9528244947038292,ENSEMBLE_METRICS_11_05_2026_14_51_19.json
NOT_NORMALIZED,Sem normalizacao,micro,accuracy,0.9371594193563552,0.8884685596915125,0.9700190778509274,ENSEMBLE_METRICS_11_05_2026_14_51_19.json
NOT_NORMALIZED,Sem normalizacao,micro,fpr,0.017802878980739605,0.009599799189036208,0.03135383932811731,ENSEMBLE_METRICS_11_05_2026_14_51_19.json
NOT_NORMALIZED,Sem normalizacao,micro,fnr,0.2586521057519438,0.13940220009382237,0.38668400153990706,ENSEMBLE_METRICS_11_05_2026_14_51_19.json
NOT_NORMALIZED,Sem normalizacao,macro,dice,0.47437370657757766,0.37594363630229816,0.57258006990485,ENSEMBLE_METRICS_11_05_2026_14_51_19.json
NOT_NORMALIZED,Sem normalizacao,macro,iou,0.4317634138943389,0.33869944693471116,0.5256470702104418,ENSEMBLE_METRICS_11_05_2026_14_51_19.json
NOT_NORMALIZED,Sem normalizacao,macro,tpr,0.7891604090741381,0.7274456784377269,0.8444849233880282,ENSEMBLE_METRICS_11_05_2026_14_51_19.json
NOT_NORMALIZED,Sem normalizacao,macro,tnr,0.95450625044993,0.9325496850754705,0.9740143076679486,ENSEMBLE_METRICS_11_05_2026_14_51_19.json
NOT_NORMALIZED,Sem normalizacao,macro,precision,0.45438289871042303,0.34748814555221164,0.5640719457360488,ENSEMBLE_METRICS_11_05_2026_14_51_19.json
NOT_NORMALIZED,Sem normalizacao,macro,accuracy,0.9238374481032156,0.8944004239532662,0.9492562353788199,ENSEMBLE_METRICS_11_05_2026_14_51_19.json
NOT_NORMALIZED,Sem normalizacao,macro,fpr,0.04549374955007006,0.025985692332051256,0.06745031492452953,ENSEMBLE_METRICS_11_05_2026_14_51_19.json
NOT_NORMALIZED,Sem normalizacao,macro,fnr,0.21083959092586194,0.15551507661197192,0.27255432156227305,ENSEMBLE_METRICS_11_05_2026_14_51_19.json
NOT_NORMALIZED,Sem normalizacao,rule6,dice_pos_only,0.8019874426218063,0.7252991015579519,0.8672254839338838,ENSEMBLE_METRICS_11_05_2026_14_51_19.json
NOT_NORMALIZED,Sem normalizacao,rule6,neg_clean_rate,0.17073170731707318,0.0625,0.29545454545454547,ENSEMBLE_METRICS_11_05_2026_14_51_19.json
NOT_NORMALIZED,Sem normalizacao,auc,auc,0.9561013828102061,,,ENSEMBLE_METRICS_11_05_2026_14_51_19.json
REINHARD,Reinhard,micro,dice,0.7560361891241232,0.6733507994676425,0.8320887062533158,ENSEMBLE_METRICS_11_05_2026_15_16_10.json
REINHARD,Reinhard,micro,iou,0.6077638131544976,0.5075575366067075,0.7124588234706,ENSEMBLE_METRICS_11_05_2026_15_16_10.json
REINHARD,Reinhard,micro,tpr,0.6502545209966788,0.5373095810776349,0.7720526021885915,ENSEMBLE_METRICS_11_05_2026_15_16_10.json
