study_id,bib_key,doi,year,title,source,cancer_domain,primary_task,artifact_qc_strategy,normalization_policy,partitioning_policy,storage_governance,ensemble_postprocessing,code_url,rq_tags,chapter_summary,markdown_file,raw_process_status
1-s2.0-S001048252401583X-main,sysrev_1_s2_0_s001048252401583x_main,,2022,Let it shine: Autofluorescence of Papanicolaou-stain improves AI-based cytological oral cancer detection,PUBMED,pulmão,prognóstico / estratificação de risco,segmentação de tecido/fundo,não especificada,separação por paciente,código público,não central,https://github.com/MIDA-group/LetItShine,"RQ1, RQ2, RQ3",Contribui com evidência sobre segmentação supervisionada em câncer.,1-s2.0-S001048252401583X-main.md,VERDICT_GENERATED
10.1016_j.ccell.2022.07.004,sysrev_10_1016_j_ccell_2022_07_004,10.1016/j.ccell.2022.07.004,2022,Pan-Cancer Integrative Histology-Genomic Analysis via Multimodal Deep Learning,PUBMED,pulmão,prognóstico / estratificação de risco,não central,não especificada,separação por paciente,manifest,não central,https://github.com/mahmoodlab/PORPOISE,"RQ2, RQ3",Contribui com evidência sobre segmentação supervisionada em câncer.,10.1016_j.ccell.2022.07.004.md,VERDICT_GENERATED
10.1016_j.crmeth.2024.100759,sysrev_10_1016_j_crmeth_2024_100759,10.1016/j.crmeth.2024.100759,2024,Nextflow pipeline for Visium and H&E data from patient-derived xenograft samples,PUBMED,pulmão,segmentação,controle de qualidade ou artefatos explicitado,normalização de cor descrita,divisão treino/validação/teste descrita,nextflow,não central,https://github.com/TheJacksonLaboratory/STQ,"RQ1, RQ2, RQ3",Evidencia que QC e artefatos precisam ser tratados como parte do fluxo.,10.1016_j.crmeth.2024.100759.md,VERDICT_GENERATED
10.1016_j.isci.2023.108073,sysrev_10_1016_j_isci_2023_108073,10.1016/j.isci.2023.108073,2023,HistoMIL: A Python package for training multiple instance learning models on histopathology slides,PUBMED,pulmão,prognóstico / estratificação de risco,controle de qualidade ou artefatos explicitado,não especificada,separação por paciente,código público,pós-processamento descrito,https://github.com/secrierlab/HistoMIL,"RQ1, RQ2, RQ3, RQ4",Evidencia que QC e artefatos precisam ser tratados como parte do fluxo.,10.1016_j.isci.2023.108073.md,VERDICT_GENERATED
10.1016_j.patter.2023.100688,sysrev_10_1016_j_patter_2023_100688,10.1016/j.patter.2023.100688,2023,Restaining-based annotation for cancer histology segmentation to overcome annotation-related limitations among pathologists,PUBMED,pulmão,segmentação,controle de qualidade ou artefatos explicitado,não especificada,divisão treino/validação/teste descrita,código público,ensemble/incerteza discutido,Não localizado na conversão textual,"RQ1, RQ3, RQ4",Evidencia que QC e artefatos precisam ser tratados como parte do fluxo.,10.1016_j.patter.2023.100688.md,VERDICT_GENERATED
10.1038_s41698-023-00352-5,sysrev_10_1038_s41698_023_00352_5,10.1038/s41698-023-00352-5,2023,Arti fi cial intelligence reveals features associated with breast cancer neoadjuvant chemotherapy responses from multi-stain histopathologic images,PUBMED,pulmão,prognóstico / estratificação de risco,segmentação de tecido/fundo,não especificada,divisão treino/validação/teste descrita,código público,não central,https://github.com/huangzhii/IMPRESS,"RQ1, RQ3",Contribui com evidência sobre segmentação supervisionada em câncer.,10.1038_s41698-023-00352-5.md,VERDICT_GENERATED
10.1117_1.jbo.28.2.026501,sysrev_10_1117_1_jbo_28_2_026501,10.1117/1.jbo.28.2.026501,2022,Hardware-software co-design of an open-source automatic multimodal whole slide histopathology imaging system,PUBMED,pulmão,prognóstico / estratificação de risco,segmentação de tecido/fundo,normalização de coloração mencionada,divisão treino/validação/teste descrita,código público,ensemble/incerteza discutido,https://github.com/uw-loci/smart-wsi-scanner/tree/master,"RQ1, RQ2, RQ3, RQ4",Relaciona agregação de modelos ou incerteza à segurança da inferência.,10.1117_1.jbo.28.2.026501.md,VERDICT_GENERATED
10.3389_fmed.2022.971873,sysrev_10_3389_fmed_2022_971873,10.3389/fmed.2022.971873,2022,H2G-Net: A multi-resolution refinement approach for segmentation of breast cancer region in gigapixel histopathological images,PUBMED,pulmão,prognóstico / estratificação de risco,controle de qualidade ou artefatos explicitado,normalização de cor descrita,separação por paciente,código público,ensemble/incerteza discutido,https://github.com/libvips/libvips,"RQ1, RQ2, RQ3, RQ4",Evidencia que QC e artefatos precisam ser tratados como parte do fluxo.,10.3389_fmed.2022.971873.md,VERDICT_GENERATED
10.1007_s10462-023-10699-7,sysrev_10_1007_s10462_023_10699_7,10.1007/s10462-023-10699-7,2023,Deep learning for cancer cell detection: do we need dedicated models?,SPRINGER,pulmão,segmentação,controle de qualidade ou artefatos explicitado,não especificada,divisão treino/validação/teste descrita,governança não detalhada,ensemble/incerteza discutido,https://github.com/Micha,"RQ1, RQ4",Evidencia que QC e artefatos precisam ser tratados como parte do fluxo.,10.1007_s10462-023-10699-7.md,VERDICT_GENERATED
10.1038_s41379-021-00859-x,sysrev_10_1038_s41379_021_00859_x,10.1038/s41379-021-00859-x,2021,Quality control stress test for deep learning-based diagnostic model in digital pathology,SPRINGER,pulmão,prognóstico / estratificação de risco,controle de qualidade ou artefatos explicitado,normalização de cor descrita,separação por paciente,código público,ensemble/incerteza discutido,https://github.com/cpath-ukk/Artifact,"RQ1, RQ2, RQ3, RQ4",Evidencia que QC e artefatos precisam ser tratados como parte do fluxo.,10.1038_s41379-021-00859-x.md,VERDICT_GENERATED
10.1038_s41467-021-21467-y,sysrev_10_1038_s41467_021_21467_y,10.1038/s41467-021-21467-y,2021,An annotation-free whole-slide training approach to pathological classification of lung cancer types using deep learning,SPRINGER,pulmão,prognóstico / estratificação de risco,controle de qualidade ou artefatos explicitado,normalização de cor descrita,divisão treino/validação/teste descrita,código público,não central,https://github.com/aetherAI/whole-slide-cnn,"RQ1, RQ2, RQ3",Evidencia que QC e artefatos precisam ser tratados como parte do fluxo.,10.1038_s41467-021-21467-y.md,VERDICT_GENERATED
10.1038_s41467-022-34025-x,sysrev_10_1038_s41467_022_34025_x,10.1038/s41467-022-34025-x,2022,Uncertainty-informed deep learning models enable high-con fi dence predictions for digital histopathology,SPRINGER,pulmão,segmentação,segmentação de tecido/fundo,normalização de cor descrita,separação por paciente,manifest,ensemble/incerteza discutido,https://github.com/jamesdolezal/biscuit,"RQ1, RQ2, RQ3, RQ4",Relaciona agregação de modelos ou incerteza à segurança da inferência.,10.1038_s41467-022-34025-x.md,VERDICT_GENERATED
10.1038_s41467-023-39933-0,sysrev_10_1038_s41467_023_39933_0,10.1038/s41467-023-39933-0,2023,Spatial cellular architecture predicts prognosis in glioblastoma,SPRINGER,mama,prognóstico / estratificação de risco,controle de qualidade ou artefatos explicitado,normalização de coloração mencionada,divisão treino/validação/teste descrita,código público,não central,https://github.com/gevaertlab/GBM360,"RQ1, RQ2, RQ3",Evidencia que QC e artefatos precisam ser tratados como parte do fluxo.,10.1038_s41467-023-39933-0.md,VERDICT_GENERATED
10.1038_s41467-023-42504-y,sysrev_10_1038_s41467_023_42504_y,10.1038/s41467-023-42504-y,2023,Single-cell morphological and topological atlas reveals the ecosystem diversity of human breast cancer,SPRINGER,pulmão,prognóstico / estratificação de risco,controle de qualidade ou artefatos explicitado,não especificada,separação por paciente,código público,não central,https://github.com/fuscc-deep-path/sc_,"RQ1, RQ2, RQ3",Evidencia que QC e artefatos precisam ser tratados como parte do fluxo.,10.1038_s41467-023-42504-y.md,VERDICT_GENERATED
10.1038_s41467-023-43749-3,sysrev_10_1038_s41467_023_43749_3,10.1038/s41467-023-43749-3,2023,Deep learning-based phenotyping reclassi fi es combined hepatocellularcholangiocarcinoma,SPRINGER,pulmão,prognóstico / estratificação de risco,segmentação de tecido/fundo,normalização de cor descrita,separação por paciente,código público,ensemble/incerteza discutido,https://github.com/KatherLab/preprocessing-ng,"RQ1, RQ2, RQ3, RQ4",Relaciona agregação de modelos ou incerteza à segurança da inferência.,10.1038_s41467-023-43749-3.md,VERDICT_GENERATED
10.1038_s41467-024-46174-2,sysrev_10_1038_s41467_024_46174_2,10.1038/s41467-024-46174-2,2024,Enabling large-scale screening of Barrett ' s esophagus using weakly supervised deep learning in histopathology,SPRINGER,pulmão,prognóstico / estratificação de risco,controle de qualidade ou artefatos explicitado,normalização de cor descrita,divisão treino/validação/teste descrita,código público,não central,https://github.com/microsoft/betrans-mil,"RQ1, RQ2, RQ3",Evidencia que QC e artefatos precisam ser tratados como parte do fluxo.,10.1038_s41467-024-46174-2.md,VERDICT_GENERATED
10.1038_s41467-024-47185-9,sysrev_10_1038_s41467_024_47185_9,10.1038/s41467-024-47185-9,2024,Microenvironmental reorganization in brain tumors following radiotherapy and recurrence revealed by hyperplexed immunofl uorescence imaging,SPRINGER,pulmão,prognóstico / estratificação de risco,controle de qualidade ou artefatos explicitado,não especificada,divisão treino/validação/teste descrita,código público,pós-processamento descrito,https://github.com/jhausserlab/HiFiAlignmentTool,"RQ1, RQ3, RQ4",Evidencia que QC e artefatos precisam ser tratados como parte do fluxo.,10.1038_s41467-024-47185-9.md,VERDICT_GENERATED
10.1038_s41467-024-48666-7,sysrev_10_1038_s41467_024_48666_7,10.1038/s41467-024-48666-7,2024,Mapping the landscape of histomorphological cancer phenotypes using self-supervised learning on unannotated pathology slides,SPRINGER,pulmão,prognóstico / estratificação de risco,controle de qualidade ou artefatos explicitado,normalização de cor descrita,separação por paciente,manifest,ensemble/incerteza discutido,https://github.com/AdalbertoCq/Histomorphological-PhenotypeLearningand,"RQ1, RQ2, RQ3, RQ4",Evidencia que QC e artefatos precisam ser tratados como parte do fluxo.,10.1038_s41467-024-48666-7.md,VERDICT_GENERATED
10.1038_s41467-024-48870-5,sysrev_10_1038_s41467_024_48870_5,10.1038/s41467-024-48870-5,2024,Deepcell phenotyping and spatial analysis of multiplexed imaging with TRACERx-PHLEX,SPRINGER,pulmão,prognóstico / estratificação de risco,controle de qualidade ou artefatos explicitado,não especificada,divisão treino/validação/teste descrita,nextflow,pós-processamento descrito,https://github.com/FrancisCrickInstitute/TRACERx-PHLEX,"RQ1, RQ3, RQ4",Evidencia que QC e artefatos precisam ser tratados como parte do fluxo.,10.1038_s41467-024-48870-5.md,VERDICT_GENERATED
10.1038_s41467-024-49017-2,sysrev_10_1038_s41467_024_49017_2,10.1038/s41467-024-49017-2,2024,AI-based histopathology image analysis reveals a distinct subset of endometrial cancers,SPRINGER,mama,prognóstico / estratificação de risco,controle de qualidade ou artefatos explicitado,normalização de cor descrita,divisão treino/validação/teste descrita,código público,não central,https://github.com/AIMLab-UBC/EC-p53abnlike-AIclassi,"RQ1, RQ2, RQ3",Evidencia que QC e artefatos precisam ser tratados como parte do fluxo.,10.1038_s41467-024-49017-2.md,VERDICT_GENERATED
10.1038_s41467-024-54769-y,sysrev_10_1038_s41467_024_54769_y,10.1038/s41467-024-54769-y,2024,GrandQC: A comprehensive solution to quality control problem in digital pathology,SPRINGER,pulmão,modelo fundacional / representação,controle de qualidade ou artefatos explicitado,normalização de cor descrita,divisão treino/validação/teste descrita,manifest,não central,https://github.com/cpath-ukk/grandqc,"RQ1, RQ2, RQ3",Mostra a consolidação de modelos fundacionais e avaliação em larga escala.,10.1038_s41467-024-54769-y.md,VERDICT_GENERATED
10.1038_s41467-024-55780-z,sysrev_10_1038_s41467_024_55780_z,10.1038/s41467-024-55780-z,2024,PHARAOH: A collaborative crowdsourcing platform for phenotyping and regional analysis of histology,SPRINGER,pulmão,modelo fundacional / representação,controle de qualidade ou artefatos explicitado,não especificada,divisão treino/validação/teste descrita,governança não detalhada,não central,Não localizado na conversão textual,RQ1,Mostra a consolidação de modelos fundacionais e avaliação em larga escala.,10.1038_s41467-024-55780-z.md,VERDICT_GENERATED
10.1038_s41467-025-57072-6,sysrev_10_1038_s41467_025_57072_6,10.1038/s41467-025-57072-6,2025,Systematic inference of super-resolution cell spatial pro fi les from histology images,SPRINGER,pulmão,prognóstico / estratificação de risco,segmentação de tecido/fundo,não especificada,divisão treino/validação/teste descrita,código público,não central,https://github.com/recolyce/HistoCell,"RQ1, RQ3",Contribui com evidência sobre segmentação supervisionada em câncer.,10.1038_s41467-025-57072-6.md,VERDICT_GENERATED
10.1038_s41467-025-57283-x,sysrev_10_1038_s41467_025_57283_x,10.1038/s41467-025-57283-x,2025,Multimodal histopathologic models stratify hormone receptor-positive early breast cancer,SPRINGER,mama,modelo fundacional / representação,controle de qualidade ou artefatos explicitado,normalização de cor descrita,separação por paciente,código público,não central,https://github.com/kmboehm/orpheus,"RQ1, RQ2, RQ3",Mostra a consolidação de modelos fundacionais e avaliação em larga escala.,10.1038_s41467-025-57283-x.md,VERDICT_GENERATED
